x,dense_pc1,flat_pc1,delta_pc1
0.0,0.22300567984068637,0.22745255687615668,0.011741088171294711
0.010101010101010102,0.1521907840622556,0.159684268188498,0.0021057263168504647
0.020202020202020204,0.08993520914321995,0.100594975097279,-0.00609118892318751
0.030303030303030304,0.05235446591423426,0.06601335852628243,-0.031702613225824725
0.04040404040404041,0.11850649143409363,0.13111525731921875,-0.04002406424295478
0.05050505050505051,0.21782636802295646,0.22792405989917755,-0.05328149820925416
0.06060606060606061,0.30373104137490764,0.3136018596552547,-0.06294629130462379
0.07070707070707072,0.3207734862196565,0.32901602993638923,-0.06242100622312608
0.08080808080808081,0.2939065701872113,0.29899440327521004,-0.06126140876514282
0.09090909090909091,0.24339675417739473,0.2458797982290788,-0.045365643654149614
0.10101010101010102,0.17428607952708508,0.17632437684006824,-0.025841824378114046
0.11111111111111112,0.10978248724730354,0.11101262520138004,0.004374715759264361
0.12121212121212122,0.10279065257361482,0.10242123515161365,0.03970810429255175
0.13131313131313133,0.09486847960247101,0.09348134115500173,0.062388802956191494
0.14141414141414144,0.08648793344916036,0.08413458064901522,0.06345349395417982
0.15151515151515152,0.07731197677631758,0.0714327233642293,0.08395183639983266
0.16161616161616163,0.04969060225480859,0.038645802821005965,0.10412619364420424
0.17171717171717174,0.018416626368318065,0.0033419545870081624,0.11983586555856847
0.18181818181818182,0.01917431659867635,0.006589957731721277,0.1009714692715265
0.19191919191919193,0.03074224580179066,0.021607868230811296,0.08064839395252237
0.20202020202020204,0.03312297939366658,0.02548365912092077,0.06751238329178455
0.21212121212121213,0.029839314690771584,0.021916369247496084,0.06990840982936974
0.22222222222222224,0.017869906171823453,0.009047271423152226,0.07847802012716305
0.23232323232323235,0.003281473026253448,-0.006821236216110934,0.08183750536075342
0.24242424242424243,-0.0031153397380939175,-0.012534636600716766,0.07225123661343391
0.25252525252525254,-0.009335602934315075,-0.017553415586569227,0.0581182377851306
0.26262626262626265,-0.010433741651846816,-0.018588264210501734,0.05660661396182739
0.27272727272727276,-0.0059016229584092595,-0.014629791353561577,0.06432165015635832
0.2828282828282829,0.00045121488770314517,-0.008652819903587818,0.07210698875301304
0.29292929292929293,0.010231794052015257,0.0022049107200038847,0.07227823939205988
0.30303030303030304,0.014047807008455388,0.007643574075207244,0.06792536098535405
0.31313131313131315,0.013619958106400733,0.00895186767637399,0.061053643104356625
0.32323232323232326,0.007529872779677578,0.004707922207758807,0.05139437522994582
